airport_id,node_idx
2965,0
2966,1
2968,2
4029,3
6156,4
2922,5
2952,6
2990,7
2948,8
2962,9
6969,10
2972,11
4364,12
4078,13
2975,14
6160,15
2936,16
2935,17
2937,18
2925,19
8944,20
6924,21
9026,22
2923,23
2786,24
2812,25
6067,26
2801,27
2789,28
2781,29
2808,30
2806,31
253,32
248,33
1044,34
247,35
245,36
1084,37
298,38
280,39
246,40
2709,41
2715,42
2673,43
2670,44
6045,45
2688,46
1506,47
1264,48
490,49
1665,50
1197,51
1054,52
4197,53
1056,54
1678,55
730,56
737,57
715,58
709,59
5599,60
688,61
435,62
718,63
5595,64
719,65
442,66
722,67
644,68
448,69
460,70
664,71
746,72
729,73
711,74
3531,75
7167,76
7168,77
7162,78
7164,79
7173,80
6019,81
4200,82
2399,83
2400,84
6024,85
2425,86
8076,87
2402,88
2430,89
4203,90
2397,91
2426,92
4204,93
2433,94
6026,95
6016,96
6021,97
2404,98
7376,99
7373,100
2531,101
2535,102
2548,103
2538,104
7380,105
2560,106
2564,107
2562,108
7367,109
2528,110
4214,111
2613,112
2619,113
2621,114
2635,115
2633,116
6039,117
5726,118
4042,119
3591,120
3830,121
3678,122
7144,123
7145,124
7147,125
3808,126
7146,127
1218,128
1050,129
4162,130
897,131
1059,132
502,133
273,134
5665,135
1063,136
5506,137
5512,138
62,139
5496,140
5504,141
5481,142
80,143
5520,144
5508,145
6727,146
111,147
5499,148
5529,149
6728,150
5515,151
146,152
149,153
154,154
7253,155
161,156
5535,157
202,158
4119,159
5687,160
4059,161
3885,162
3999,163
4120,164
3386,165
3077,166
3179,167
3992,168
3304,169
3308,170
3351,171
3034,172
3035,173
3239,174
3205,175
3316,176
4302,177
2276,178
1679,179
338,180
345,181
1558,182
382,183
3986,184
1609,185
342,186
346,187
1561,188
1520,189
1612,190
351,191
1209,192
3682,193
1937,194
1943,195
3875,196
3533,197
1948,198
1941,199
1944,200
6130,201
3472,202
3712,203
6958,204
3754,205
3878,206
4335,207
1930,208
5756,209
3722,210
5759,211
3564,212
3793,213
1934,214
3698,215
3646,216
5773,217
580,218
1525,219
1538,220
302,221
344,222
1074,223
1534,224
1066,225
1335,226
1359,227
5673,228
3998,229
4317,230
1273,231
1080,232
1539,233
2895,234
2896,235
2897,236
2844,237
2848,238
2980,239
6149,240
6153,241
6150,242
6485,243
2981,244
1743,245
2874,246
2774,247
2877,248
2878,249
2881,250
6460,251
1762,252
2879,253
2893,254
2899,255
6351,256
3370,257
3375,258
4380,259
3393,260
3371,261
3395,262
4109,263
6344,264
9310,265
3404,266
4308,267
6434,268
6353,269
3385,270
9311,271
8407,272
6345,273
3389,274
3400,275
3930,276
4085,277
6432,278
3381,279
8781,280
6386,281
4301,282
3397,283
3384,284
3382,285
6379,286
3394,287
3372,288
3378,289
4033,290
6376,291
4097,292
6385,293
6402,294
3339,295
6400,296
3387,297
3388,298
3373,299
5475,300
6954,301
3364,302
3406,303
6435,304
4144,305
6347,306
2244,307
3361,308
4030,309
3374,310
3390,311
4108,312
2275,313
3368,314
8858,315
3369,316
3399,317
6368,318
6392,319
3376,320
6390,321
6403,322
3396,323
3379,324
3383,325
6366,326
4149,327
4110,328
6361,329
8876,330
156,331
6357,332
8043,333
6355,334
3877,335
3484,336
1128,337
1590,338
5965,339
7214,340
7215,341
3423,342
8428,343
6151,344
6143,345
6140,346
4111,347
4368,348
2992,349
2988,350
6176,351
3043,352
3069,353
3068,354
3076,355
2188,356
2072,357
3071,358
3125,359
2194,360
3072,361
3073,362
3074,363
5498,364
128,365
3670,366
3988,367
3797,368
3576,369
1760,370
49,371
87,372
100,373
176,374
178,375
196,376
1783,377
1785,378
1794,379
1796,380
1789,381
1795,382
1793,383
1792,384
1852,385
1797,386
1800,387
1804,388
1767,389
1909,390
1807,391
1786,392
1816,393
1824,394
1819,395
1822,396
1825,397
1826,398
1829,399
1836,400
1839,401
3621,402
1840,403
1885,404
3867,405
1848,406
1846,407
1847,408
1850,409
1845,410
1854,411
1853,412
1855,413
1856,414
1858,415
3093,416
2048,417
2223,418
2050,419
2053,420
1688,421
1423,422
1130,423
1742,424
1737,425
1230,426
210,427
4309,428
3941,429
1739,430
636,431
469,432
1321,433
1216,434
353,435
1501,436
1489,437
1519,438
1382,439
1460,440
1322,441
1509,442
488,443
1200,444
373,445
599,446
535,447
1626,448
1555,449
4166,450
340,451
352,452
5557,453
421,454
1452,455
1225,456
1468,457
1479,458
1458,459
4322,460
669,461
671,462
1462,463
348,464
507,465
1529,466
1638,467
1229,468
478,469
1524,470
1354,471
481,472
347,473
1512,474
674,475
1587,476
1562,477
1203,478
1075,479
1472,480
1205,481
772,482
1646,483
1486,484
1206,485
548,486
350,487
1508,488
1526,489
287,490
1551,491
1613,492
1550,493
679,494
680,495
1226,496
1208,497
6712,498
3417,499
7116,500
7105,501
7119,502
3832,503
3420,504
7236,505
7246,506
7110,507
7112,508
9741,509
7113,510
7115,511
7217,512
4385,513
3599,514
6960,515
7093,516
8202,517
7213,518
9742,519
7201,520
7094,521
7096,522
7206,523
7095,524
7097,525
8199,526
7212,527
8200,528
9744,529
7216,530
3430,531
7218,532
8201,533
9739,534
7099,535
8203,536
1865,537
6945,538
6731,539
1879,540
1881,541
1863,542
1884,543
5847,544
1887,545
5848,546
6732,547
5844,548
5842,549
1889,550
5556,551
1138,552
1173,553
1140,554
1144,555
1143,556
1145,557
5694,558
1186,559
2423,560
3269,561
3272,562
4206,563
3275,564
6012,565
4140,566
6733,567
4201,568
3940,569
4090,570
3199,571
6974,572
2429,573
4202,574
3121,575
3942,576
2279,577
2401,578
2372,579
2409,580
2422,581
3994,582
4199,583
6022,584
6018,585
6079,586
4362,587
6110,588
2949,589
4371,590
2989,591
2985,592
663,593
4369,594
2651,595
2656,596
2649,597
2650,598
2442,599
2699,600
2545,601
2816,602
6777,603
2599,604
29,605
32,606
37,607
5487,608
40,609
50,610
